frame,time_s,NOSE_x,NOSE_y,NOSE_z,NOSE_vis,LEFT_EYE_INNER_x,LEFT_EYE_INNER_y,LEFT_EYE_INNER_z,LEFT_EYE_INNER_vis,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_z,LEFT_EYE_vis,LEFT_EYE_OUTER_x,LEFT_EYE_OUTER_y,LEFT_EYE_OUTER_z,LEFT_EYE_OUTER_vis,RIGHT_EYE_INNER_x,RIGHT_EYE_INNER_y,RIGHT_EYE_INNER_z,RIGHT_EYE_INNER_vis,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_z,RIGHT_EYE_vis,RIGHT_EYE_OUTER_x,RIGHT_EYE_OUTER_y,RIGHT_EYE_OUTER_z,RIGHT_EYE_OUTER_vis,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_z,LEFT_EAR_vis,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_z,RIGHT_EAR_vis,MOUTH_LEFT_x,MOUTH_LEFT_y,MOUTH_LEFT_z,MOUTH_LEFT_vis,MOUTH_RIGHT_x,MOUTH_RIGHT_y,MOUTH_RIGHT_z,MOUTH_RIGHT_vis,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_z,LEFT_SHOULDER_vis,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_z,RIGHT_SHOULDER_vis,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_z,LEFT_ELBOW_vis,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_z,RIGHT_ELBOW_vis,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_z,LEFT_WRIST_vis,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_z,RIGHT_WRIST_vis,LEFT_PINKY_x,LEFT_PINKY_y,LEFT_PINKY_z,LEFT_PINKY_vis,RIGHT_PINKY_x,RIGHT_PINKY_y,RIGHT_PINKY_z,RIGHT_PINKY_vis,LEFT_INDEX_x,LEFT_INDEX_y,LEFT_INDEX_z,LEFT_INDEX_vis,RIGHT_INDEX_x,RIGHT_INDEX_y,RIGHT_INDEX_z,RIGHT_INDEX_vis,LEFT_THUMB_x,LEFT_THUMB_y,LEFT_THUMB_z,LEFT_THUMB_vis,RIGHT_THUMB_x,RIGHT_THUMB_y,RIGHT_THUMB_z,RIGHT_THUMB_vis,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_z,LEFT_HIP_vis,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_z,RIGHT_HIP_vis,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_z,LEFT_KNEE_vis,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_z,RIGHT_KNEE_vis,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_z,LEFT_ANKLE_vis,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_z,RIGHT_ANKLE_vis,LEFT_HEEL_x,LEFT_HEEL_y,LEFT_HEEL_z,LEFT_HEEL_vis,RIGHT_HEEL_x,RIGHT_HEEL_y,RIGHT_HEEL_z,RIGHT_HEEL_vis,LEFT_FOOT_INDEX_x,LEFT_FOOT_INDEX_y,LEFT_FOOT_INDEX_z,LEFT_FOOT_INDEX_vis,RIGHT_FOOT_INDEX_x,RIGHT_FOOT_INDEX_y,RIGHT_FOOT_INDEX_z,RIGHT_FOOT_INDEX_vis
0,0.000000,0.639557,0.471408,0.313210,0.999705,0.635598,0.466327,0.304118,0.999597,0.632565,0.465925,0.304083,0.999529,0.629507,0.465575,0.304101,0.999639,0.642800,0.466869,0.279448,0.999632,0.644531,0.466935,0.279262,0.999535,0.646153,0.467124,0.279312,0.999595,0.623274,0.467330,0.252443,0.999461,0.644137,0.469758,0.144533,0.999539,0.631331,0.476080,0.300326,0.999361,0.641279,0.476495,0.268431,0.999245,0.572942,0.498579,0.294044,0.999881,0.653997,0.498294,-0.025589,0.999983,0.578602,0.542616,0.321764,0.282518,0.665914,0.540966,-0.072356,0.882901,0.632203,0.577351,0.296679,0.342372,0.665839,0.580301,-0.004491,0.661374,0.649034,0.588408,0.314480,0.337419,0.674215,0.590126,-0.020567,0.598704,0.651989,0.588133,0.287402,0.336514,0.674573,0.589425,-0.002151,0.579546,0.650216,0.585447,0.284065,0.329098,0.672294,0.585762,0.004780,0.517828,0.520614,0.581648,0.112687,0.999921,0.556782,0.583857,-0.112582,0.999973,0.550572,0.649141,0.131993,0.314691,0.541759,0.666389,-0.103899,0.928000,0.571073,0.716940,0.129625,0.652427,0.495712,0.744994,-0.146439,0.937850,0.568921,0.726395,0.123942,0.724433,0.478784,0.756087,-0.153553,0.903370,0.603101,0.736734,0.073349,0.699509,0.532669,0.765132,-0.234140,0.910997
1,0.016687,0.639491,0.470732,0.316278,0.999720,0.635458,0.465768,0.307823,0.999618,0.632403,0.465339,0.307796,0.999553,0.629343,0.464979,0.307831,0.999658,0.642747,0.466481,0.282598,0.999653,0.644512,0.466618,0.282406,0.999562,0.646153,0.466863,0.282465,0.999618,0.623266,0.466811,0.255952,0.999490,0.644169,0.469576,0.145486,0.999563,0.631135,0.475383,0.302674,0.999391,0.641108,0.475832,0.270035,0.999283,0.572766,0.498540,0.298718,0.999885,0.653787,0.498716,-0.026508,0.999984,0.577913,0.541946,0.350895,0.289420,0.666124,0.541278,-0.073190,0.887993,0.627076,0.578248,0.355786,0.348823,0.666697,0.580638,-0.004628,0.671058,0.646764,0.587766,0.377932,0.342457,0.674468,0.590291,-0.020420,0.608023,0.651577,0.587066,0.349643,0.341489,0.674609,0.589537,-0.002110,0.589010,0.650136,0.584784,0.343583,0.333153,0.672235,0.586214,0.004610,0.527663,0.520523,0.581659,0.116819,0.999925,0.556324,0.584114,-0.116687,0.999975,0.548745,0.649296,0.141320,0.319684,0.540978,0.666415,-0.104843,0.930320,0.569083,0.717085,0.141611,0.659542,0.496495,0.745527,-0.151509,0.940398,0.563487,0.726230,0.135833,0.732322,0.479830,0.757115,-0.158585,0.907709,0.605223,0.733912,0.086661,0.708378,0.540541,0.768977,-0.237927,0.915081
2,0.033374,0.639039,0.470515,0.338965,0.999711,0.635046,0.465670,0.329834,0.999613,0.632031,0.465227,0.329787,0.999546,0.629014,0.464850,0.329843,0.999650,0.642483,0.466435,0.306399,0.999652,0.644350,0.466584,0.306222,0.999562,0.646082,0.466834,0.306268,0.999617,0.623181,0.466724,0.272149,0.999487,0.644179,0.469558,0.168953,0.999559,0.630678,0.475029,0.322337,0.999379,0.640717,0.475606,0.291819,0.999278,0.572128,0.498541,0.305126,0.999888,0.653748,0.498959,-0.012018,0.999985,0.571593,0.542110,0.368386,0.290028,0.666658,0.542021,-0.059265,0.893523,0.621345,0.577333,0.393102,0.344883,0.666905,0.581641,0.009710,0.679292,0.637081,0.587664,0.418182,0.337675,0.674897,0.590956,-0.001491,0.615130,0.650689,0.586758,0.390606,0.336676,0.674677,0.590095,0.015434,0.595761,0.649734,0.584657,0.381866,0.328823,0.672126,0.587015,0.018629,0.535324,0.519859,0.581652,0.116770,0.999929,0.556303,0.584257,-0.116631,0.999976,0.547990,0.649724,0.139199,0.328771,0.540689,0.666562,-0.103737,0.932653,0.569103,0.718186,0.126696,0.667866,0.496491,0.747301,-0.157733,0.942518,0.563536,0.726960,0.118817,0.741470,0.479826,0.758830,-0.165713,0.911968,0.605366,0.733399,0.072861,0.712552,0.542499,0.769684,-0.242266,0.917722
3,0.050061,0.638584,0.470513,0.347257,0.999720,0.634627,0.465672,0.338346,0.999626,0.631605,0.465227,0.338304,0.999560,0.628595,0.464847,0.338357,0.999661,0.642173,0.466456,0.315253,0.999665,0.644116,0.466621,0.315063,0.999579,0.645930,0.466886,0.315123,0.999632,0.622981,0.466716,0.280036,0.999507,0.644123,0.469633,0.178750,0.999575,0.630114,0.475023,0.330626,0.999392,0.640207,0.475608,0.300574,0.999298,0.571919,0.498523,0.311580,0.999890,0.653394,0.499263,-0.002314,0.999985,0.569488,0.542221,0.364383,0.288223,0.666446,0.542452,-0.046828,0.897364,0.619402,0.578860,0.374225,0.340383,0.667029,0.582388,0.024946,0.685364,0.637887,0.587667,0.396303,0.332932,0.675152,0.591502,0.014195,0.620972,0.648688,0.586818,0.369220,0.331849,0.674797,0.590579,0.031832,0.601532,0.648364,0.584803,0.362520,0.324098,0.672062,0.587637,0.034173,0.541740,0.519204,0.581648,0.116686,0.999932,0.555634,0.584268,-0.116547,0.999977,0.547626,0.650055,0.133555,0.331234,0.540510,0.666663,-0.104115,0.933544,0.569047,0.719532,0.116373,0.669620,0.496270,0.748489,-0.166780,0.943733,0.563427,0.727795,0.108089,0.746512,0.479607,0.760278,-0.175631,0.915130,0.608245,0.733511,0.062901,0.715447,0.542461,0.770472,-0.251243,0.919901
4,0.066748,0.638278,0.470292,0.341137,0.999736,0.634222,0.465517,0.332172,0.999649,0.631162,0.465074,0.332133,0.999587,0.628124,0.464697,0.332175,0.999682,0.641872,0.466354,0.308519,0.999686,0.643848,0.466541,0.308330,0.999606,0.645712,0.466821,0.308387,0.999656,0.622578,0.466610,0.275845,0.999539,0.644018,0.469586,0.173354,0.999602,0.629715,0.474776,0.325537,0.999425,0.639817,0.475395,0.294876,0.999338,0.571484,0.498517,0.309839,0.999893,0.652785,0.499352,-0.003988,0.999986,0.567832,0.542423,0.369442,0.288724,0.665789,0.542544,-0.049834,0.900952,0.617356,0.580096,0.393681,0.337849,0.667027,0.582454,0.028367,0.690858,0.637704,0.587675,0.419055,0.329995,0.675153,0.591669,0.017608,0.626446,0.646082,0.586884,0.390079,0.328923,0.674754,0.590769,0.035083,0.607149,0.646139,0.584868,0.381804,0.320942,0.671709,0.587845,0.037715,0.547387,0.518620,0.581683,0.116713,0.999935,0.554589,0.584391,-0.116571,0.999979,0.547603,0.650051,0.138022,0.335959,0.540262,0.666790,-0.103630,0.935579,0.568673,0.719988,0.131615,0.673185,0.495454,0.748949,-0.164947,0.945756,0.563048,0.727919,0.125147,0.751491,0.478668,0.760935,-0.173552,0.918430,0.608827,0.733598,0.084282,0.720373,0.542130,0.770913,-0.250418,0.922739
5,0.083435,0.637595,0.470255,0.362887,0.999738,0.633517,0.465505,0.355593,0.999653,0.630400,0.465065,0.355553,0.999592,0.627325,0.464690,0.355621,0.999685,0.641292,0.466353,0.330617,0.999693,0.643318,0.466542,0.330429,0.999615,0.645256,0.466825,0.330484,0.999664,0.621953,0.466612,0.300875,0.999546,0.643726,0.469624,0.191064,0.999608,0.628872,0.474770,0.346795,0.999433,0.639062,0.475383,0.314223,0.999352,0.570385,0.498529,0.328974,0.999898,0.651937,0.499559,0.002865,0.999987,0.568258,0.542289,0.395748,0.290156,0.664834,0.542802,-0.047918,0.906006,0.616571,0.578910,0.427921,0.337675,0.666953,0.582592,0.024705,0.700170,0.630750,0.587288,0.454442,0.328812,0.675118,0.591908,0.013427,0.634918,0.644809,0.586888,0.426697,0.327705,0.674301,0.590863,0.030755,0.615442,0.645606,0.584785,0.416601,0.319849,0.671188,0.588001,0.033851,0.556238,0.517166,0.581736,0.118874,0.999939,0.552887,0.584485,-0.118677,0.999980,0.547557,0.650074,0.137599,0.351278,0.539986,0.666905,-0.115018,0.939212,0.568538,0.721378,0.125948,0.685020,0.495461,0.748910,-0.185019,0.948719,0.562852,0.729176,0.117908,0.762345,0.478121,0.761577,-0.194425,0.923164,0.609719,0.733631,0.075642,0.728518,0.541742,0.771943,-0.273989,0.926501
6,0.100122,0.637223,0.470278,0.342030,0.999750,0.633118,0.465554,0.332975,0.999670,0.629984,0.465109,0.332931,0.999612,0.626880,0.464730,0.332969,0.999700,0.640848,0.466418,0.307330,0.999709,0.642839,0.466619,0.307123,0.999635,0.644759,0.466916,0.307193,0.999681,0.621431,0.466668,0.276881,0.999571,0.643183,0.469735,0.164048,0.999628,0.628463,0.474819,0.326343,0.999456,0.638510,0.475424,0.292861,0.999381,0.569710,0.498596,0.318587,0.999900,0.650934,0.499802,-0.016174,0.999988,0.567940,0.542590,0.378618,0.295537,0.664197,0.543363,-0.051530,0.909262,0.618185,0.578949,0.390020,0.341832,0.666777,0.583597,0.020921,0.707810,0.632462,0.587588,0.413530,0.331830,0.675050,0.592603,0.008620,0.642773,0.643667,0.587279,0.385283,0.330767,0.674181,0.591605,0.026137,0.623608,0.645177,0.584989,0.378040,0.322159,0.670603,0.588867,0.030032,0.564526,0.515495,0.582030,0.118791,0.999940,0.551278,0.585124,-0.118601,0.999981,0.546916,0.650385,0.145492,0.350082,0.539911,0.667615,-0.104880,0.939898,0.568609,0.723269,0.149272,0.684800,0.495159,0.749753,-0.158866,0.949927,0.560897,0.730476,0.144233,0.764298,0.477521,0.762603,-0.165702,0.925375,0.609600,0.734098,0.101961,0.732000,0.541541,0.774155,-0.241330,0.928796
7,0.116809,0.636240,0.470321,0.324726,0.999755,0.632048,0.465597,0.314151,0.999679,0.628919,0.465152,0.314101,0.999622,0.625842,0.464770,0.314116,0.999709,0.639786,0.466459,0.288411,0.999717,0.641805,0.466661,0.288209,0.999646,0.643782,0.466957,0.288271,0.999691,0.620440,0.466704,0.256630,0.999586,0.642313,0.469784,0.143545,0.999640,0.627489,0.474864,0.309268,0.999468,0.637567,0.475444,0.275707,0.999397,0.568625,0.498678,0.305354,0.999901,0.650042,0.500207,-0.032657,0.999988,0.567909,0.542558,0.370125,0.297051,0.663601,0.543596,-0.061848,0.910582,0.613977,0.578707,0.381890,0.342032,0.666186,0.583726,0.019581,0.710132,0.633404,0.587886,0.406522,0.331715,0.674436,0.592868,0.006212,0.645528,0.643342,0.587322,0.376790,0.330756,0.673386,0.591884,0.024034,0.626600,0.644402,0.585089,0.369594,0.321799,0.669359,0.589117,0.028618,0.567417,0.514261,0.582246,0.118805,0.999942,0.549678,0.585469,-0.118629,0.999982,0.546695,0.650408,0.148501,0.348181,0.539510,0.668110,-0.097131,0.939738,0.568715,0.723510,0.155095,0.684859,0.494750,0.750137,-0.143398,0.950716,0.560945,0.731648,0.150790,0.765592,0.476997,0.762796,-0.149376,0.926642,0.610476,0.733847,0.108039,0.734681,0.541637,0.774154,-0.224210,0.930389
8,0.133496,0.634987,0.470393,0.322800,0.999762,0.630767,0.465653,0.312381,0.999690,0.627637,0.465202,0.312334,0.999635,0.624569,0.464814,0.312350,0.999719,0.638507,0.466527,0.286297,0.999728,0.640556,0.466734,0.286095,0.999659,0.642590,0.467035,0.286158,0.999703,0.619214,0.466749,0.255623,0.999604,0.641163,0.469886,0.141243,0.999653,0.626230,0.474938,0.307638,0.999483,0.636251,0.475517,0.273630,0.999416,0.566868,0.498849,0.303985,0.999902,0.649045,0.500531,-0.035178,0.999988,0.566745,0.542533,0.366898,0.295218,0.662376,0.543756,-0.067091,0.913000,0.611282,0.578501,0.384060,0.338492,0.664970,0.583931,0.019330,0.714251,0.633722,0.588197,0.409141,0.328164,0.673470,0.593096,0.005281,0.649636,0.642690,0.587366,0.379639,0.327248,0.672376,0.592092,0.022864,0.630905,0.643368,0.585195,0.371858,0.318199,0.667889,0.589320,0.028416,0.571665,0.512532,0.582408,0.118821,0.999943,0.548423,0.585736,-0.118652,0.999982,0.545420,0.650481,0.149389,0.348464,0.539496,0.668408,-0.093162,0.940252,0.566210,0.723213,0.156212,0.685223,0.494644,0.750011,-0.136848,0.951558,0.557671,0.731963,0.151858,0.767899,0.476151,0.762815,-0.142734,0.928358,0.607977,0.734478,0.109602,0.736600,0.541434,0.773970,-0.216322,0.931632
9,0.150183,0.633289,0.470223,0.296003,0.999776,0.629179,0.465536,0.283923,0.999710,0.626052,0.465075,0.283876,0.999658,0.622952,0.464674,0.283900,0.999737,0.637091,0.466444,0.258679,0.999745,0.639271,0.466665,0.258501,0.999682,0.641440,0.466976,0.258550,0.999723,0.617996,0.466674,0.226060,0.999631,0.640286,0.469862,0.115332,0.999676,0.624630,0.474658,0.280750,0.999514,0.634854,0.475343,0.248038,0.999453,0.565412,0.498961,0.269671,0.999901,0.648260,0.500852,-0.056923,0.999989,0.566077,0.542535,0.342661,0.298760,0.661008,0.544428,-0.078318,0.917149,0.612237,0.578630,0.375835,0.331192,0.663808,0.584769,0.017612,0.715793,0.633648,0.588319,0.398105,0.320265,0.672816,0.593509,0.003326,0.649977,0.642927,0.587928,0.369764,0.319540,0.671645,0.592463,0.021011,0.631476,0.642262,0.585271,0.363567,0.310870,0.666719,0.589779,0.026668,0.572125,0.511449,0.582953,0.118730,0.999944,0.547891,0.586789,-0.118562,0.999983,0.545033,0.650825,0.159017,0.361797,0.539498,0.669085,-0.079957,0.943804,0.566286,0.723601,0.180592,0.693290,0.494518,0.749890,-0.113745,0.954035,0.558005,0.733292,0.178750,0.775243,0.476013,0.762611,-0.117885,0.931830,0.606902,0.734732,0.146695,0.738562,0.542098,0.773912,-0.184509,0.933095
