frame,time_s,x,y,speed_px_per_s
0,0.0000,,,,
1,0.0167,,,,
2,0.0334,,,,
3,0.0501,,,,
4,0.0668,,,,
5,0.0835,,,,
6,0.1002,,,,
7,0.1169,,,,
8,0.1336,,,,
9,0.1503,,,,
10,0.1670,,,,
11,0.1837,,,,
12,0.2004,,,,
13,0.2171,,,,
14,0.2338,,,,
15,0.2505,,,,
16,0.2672,,,,
17,0.2839,,,,
18,0.3006,,,,
19,0.3173,,,,
20,0.3340,,,,
21,0.3507,,,,
22,0.3674,,,,
23,0.3841,,,,
24,0.4008,,,,
25,0.4175,,,,
26,0.4342,,,,
27,0.4509,,,,
28,0.4676,,,,
29,0.4843,,,,
30,0.5010,,,,
31,0.5177,,,,
32,0.5344,,,,
33,0.5511,,,,
34,0.5678,,,,
35,0.5845,,,,
36,0.6012,,,,
37,0.6179,1915,648,
38,0.6346,1903,644,757.4899
39,0.6512,1868,649,2117.2487
40,0.6679,1826,642,2549.8567
41,0.6846,1777,646,2944.1179
42,0.7013,1730,645,2815.2243
43,0.7180,1682,644,2875.0959
44,0.7347,1636,644,2754.7025
45,0.7514,1592,646,2637.6535
46,0.7681,1542,648,2996.6363
47,0.7848,1499,647,2575.7442
48,0.8015,1455,648,2635.6132
49,0.8182,1410,648,2694.8177
50,0.8349,1367,646,2577.8318
51,0.8516,1326,645,2456.0085
52,0.8683,1282,644,2635.6132
53,0.8850,1241,646,2458.1978
54,0.9017,1197,647,2635.6132
55,0.9184,1155,647,2515.1631
56,0.9351,1117,644,2282.7044
57,0.9518,1073,646,2637.6535
58,0.9685,1031,646,2515.1631
59,0.9852,995,647,2156.6857
60,1.0019,956,647,2335.5086
61,1.0186,915,645,2458.1978
62,1.0353,877,645,2275.6238
63,1.0520,841,642,2163.3268
64,1.0687,805,641,2156.6857
65,1.0854,767,641,2275.6238
66,1.1021,729,641,2275.6238
67,1.1188,695,645,2050.1266
68,1.1355,658,643,2218.9736
69,1.1522,624,643,2036.0845
70,1.1689,587,644,2216.5481
71,1.1856,551,645,2156.6857
72,1.2023,518,644,1977.1068
73,1.2190,484,639,2057.9832
74,1.2357,453,638,1857.3956
75,1.2524,421,640,1920.0539
76,1.2691,388,641,1977.1068
77,1.2858,357,638,1865.1026
78,1.3025,325,640,1920.0539
79,1.3192,294,639,1857.3956
80,1.3359,263,638,1857.3956
81,1.3526,233,637,1797.5429
82,1.3693,205,637,1676.7754
83,1.3860,176,638,1737.6925
84,1.4027,146,636,1800.5330
85,1.4194,115,630,1890.8821
86,1.4361,88,634,1634.5379
87,1.4528,65,637,1389.0184
88,1.4695,41,635,1442.2179
89,1.4862,24,630,1061.1620
90,1.5029,20,627,299.4242
91,1.5196,2,630,1092.7957
92,1.5363,3,630,59.8848
93,1.5530,,,,
94,1.5697,,,,
95,1.5864,,,,
96,1.6031,,,,
97,1.6198,,,,
98,1.6365,,,,
99,1.6532,,,,
100,1.6699,,,,
101,1.6866,,,,
102,1.7033,,,,
103,1.7200,,,,
104,1.7367,,,,
105,1.7534,,,,
106,1.7701,,,,
107,1.7868,,,,
108,1.8035,,,,
109,1.8202,,,,
110,1.8369,,,,
111,1.8536,,,,
112,1.8703,,,,
113,1.8870,,,,
114,1.9037,,,,
115,1.9204,,,,
116,1.9371,,,,
117,1.9538,,,,
118,1.9704,,,,
119,1.9871,,,,
120,2.0038,,,,
121,2.0205,,,,
122,2.0372,,,,
123,2.0539,,,,
124,2.0706,,,,
125,2.0873,,,,
126,2.1040,,,,
127,2.1207,,,,
128,2.1374,,,,
129,2.1541,,,,
130,2.1708,,,,
131,2.1875,,,,
132,2.2042,,,,
133,2.2209,,,,
134,2.2376,,,,
135,2.2543,,,,
136,2.2710,,,,
137,2.2877,,,,
138,2.3044,,,,
139,2.3211,,,,
140,2.3378,,,,
141,2.3545,,,,
142,2.3712,,,,
143,2.3879,,,,
144,2.4046,,,,
145,2.4213,,,,
146,2.4380,,,,
147,2.4547,,,,
148,2.4714,,,,
149,2.4881,,,,
150,2.5048,,,,
151,2.5215,,,,
152,2.5382,,,,
153,2.5549,,,,
154,2.5716,,,,
155,2.5883,,,,
